000865133 	Alex 	C
000906647 	Ivan 	B
001234567 	Alice 	A
001415926 	Fleming 	C
002345676 	Mack 	B
002345678 	Bob 	B
002643383 	Dotty 	C
002798214 	Abby 	A
002823066 	Ying 	A
003141592 	Carl 	A
003141593 	Karl 	A
003238462 	Diane 	A
003282306 	Robert 	B
003456787 	Dawn 	A
004609550 	John 	A
004709384 	Gerald 	A
005105829 	Pat 	C
005358979 	Emma 	C
006095507 	Ed 	B
006433832 	Curt 	A
006470938 	Gertrude 	C
007510582 	Carrie 	A
007665541 	Zelda 	A
007766554 	Dorothy 	C
007982148 	Barry 	B
008086513 	Carlos 	A
009066471 	Jim 	A
009323846 	Rob 	B
